Severity,Process,IP:Port,Score,Timestamp,Reason
CRITICAL,System Idle Process,3.234.199.80:80,80.0,2026-04-22 09:28:47,Unknown process not in whitelist; Frequent connections: 66 in 60 seconds; High connection frequency baseline: 66; Repeated destination: 5 hits to 3.234.199.80:80; Connection burst: 11 connections in 10 seconds; Multi-destination activity: 18 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,87.0,2026-04-22 09:28:44,Unknown process not in whitelist; Frequent connections: 61 in 60 seconds; High connection frequency baseline: 61; Beaconing pattern: 38 hits to 18.235.15.99:80; Connection burst: 8 connections in 10 seconds; Multi-destination activity: 17 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,81.0,2026-04-22 09:28:43,Unknown process not in whitelist; Frequent connections: 58 in 60 seconds; High connection frequency baseline: 58; Beaconing pattern: 35 hits to 18.235.15.99:80; Rapid connection rate: 5 in 10 seconds; Multi-destination activity: 17 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,87.0,2026-04-22 09:28:43,Unknown process not in whitelist; Frequent connections: 59 in 60 seconds; High connection frequency baseline: 59; Beaconing pattern: 36 hits to 18.235.15.99:80; Connection burst: 6 connections in 10 seconds; Multi-destination activity: 17 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,87.0,2026-04-22 09:28:43,Unknown process not in whitelist; Frequent connections: 60 in 60 seconds; High connection frequency baseline: 60; Beaconing pattern: 37 hits to 18.235.15.99:80; Connection burst: 7 connections in 10 seconds; Multi-destination activity: 17 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,90.0,2026-04-22 09:28:40,Unknown process not in whitelist; Frequent connections: 57 in 60 seconds; High connection frequency baseline: 57; Beaconing pattern: 34 hits to 18.235.15.99:80; Connection burst: 7 connections in 10 seconds; Multi-destination activity: 17 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,90.0,2026-04-22 09:28:37,Unknown process not in whitelist; Frequent connections: 55 in 60 seconds; High connection frequency baseline: 55; Beaconing pattern: 33 hits to 18.235.15.99:80; Connection burst: 10 connections in 10 seconds; Multi-destination activity: 17 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,90.0,2026-04-22 09:28:35,Unknown process not in whitelist; Frequent connections: 54 in 60 seconds; High connection frequency baseline: 54; Beaconing pattern: 32 hits to 18.235.15.99:80; Connection burst: 16 connections in 10 seconds; Multi-destination activity: 17 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,90.0,2026-04-22 09:28:32,Unknown process not in whitelist; Frequent connections: 52 in 60 seconds; High connection frequency baseline: 52; Beaconing pattern: 30 hits to 18.235.15.99:80; Connection burst: 16 connections in 10 seconds; Multi-destination activity: 17 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,90.0,2026-04-22 09:28:32,Unknown process not in whitelist; Frequent connections: 53 in 60 seconds; High connection frequency baseline: 53; Beaconing pattern: 31 hits to 18.235.15.99:80; Connection burst: 17 connections in 10 seconds; Multi-destination activity: 17 unique endpoints
